-52271233.2726762146	  inf
-36273791.3658744693	3.06047e-01
-35295172.6747955754	2.69787e-02
-34675668.4457155168	1.75521e-02
-34301313.1955841482	1.07959e-02
-34048761.3904027790	7.36274e-03
-33874471.2711450905	5.11884e-03
-33754187.2038003281	3.55088e-03
-33669054.6050037667	2.52213e-03
-33607465.4176224172	1.82925e-03
-33561490.8401476815	1.36799e-03
-33525593.9576569982	1.06959e-03
-33497399.1672510579	8.40993e-04
-33473894.9332235008	7.01673e-04
-33453514.6853860393	6.08840e-04
-33435681.2209747061	5.33082e-04
-33420142.0406187288	4.64748e-04
-33406491.9279264696	4.08440e-04
-33394542.7715706937	3.57690e-04
-33384045.2972729839	3.14347e-04
-33374364.0784104168	2.89995e-04
-33365161.8880427815	2.75726e-04
-33357399.3665844798	2.32653e-04
-33351608.1361545958	1.73612e-04
-33346484.5042533726	1.53625e-04
-33341810.7233556211	1.40158e-04
-33337440.8889041096	1.31062e-04
-33333368.5150680505	1.22156e-04
-33329752.5613101646	1.08478e-04
-33326425.4256940819	9.98248e-05
